SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
D3MN,Q_ED_3RD_HD_DEGREE_AWARD_MO,Month of award of third highest degree,CG0: SYSTEM/CGN: D11.D3.BMM/CGNR: SYSTEM,In what month was your 3rd highest degree awarded?,All respondents with three or more degrees,MONTH_GROUP
D3OT,Q_ED_3RD_DEGREE_REAS_OTHR,Reason for obtaining this degree: other,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 3rd highest degree? (Response to: 'Other'),All respondents with three or more degrees,$YES_NO_CODES
D3PBP21C,Q_ED_3RD_HD_SCHOOL_PUB_OR_PRIV_2021,Public/private  status of school awarding third highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents with at least three degrees,$PUBLIC_PRIVATE_CODES
D3RGN,Q_ED_3RD_HD_SCHOOL_REGION,Location of school awarding third highest degree (region code),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,$REGION_CODES
D3SKL,Q_ED_3RD_DEGREE_REAS_ACQ_SKILL,Reason for obtaining this degree: acquire further skills in field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain 3rd highest degree? (Response to: 'To gain further skills or knowledge in your academic or occupational field'),All respondents with three or more degrees,$YES_NO_CODES
D3ST_TOGA,Q_ED_3RD_HD_SCHOOL_ST_CTRY_CD_TOGA,Location of school awarding third highest degree (state/country code),SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,$TOGALOCAT_CG
D3YR,Q_ED_3RD_HD_DEGREE_AWARD_YR,Year of award of third highest degree,CG0: SYSTEM/CGN: D11.D3.BYY/CGNR: SYSTEM,In what year was your 3rd highest degree awarded?,All respondents with three or more degrees,NUMERIC_FOUR
D43YR,R_ED_4TH_HD_DEGREE_AWARD_YR_3_YR_GROUPING,Year of award of fourth highest degree (3 year intervals),CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,THREE_YEAR_GROUP_CODES_2023_
D45YR,R_ED_4TH_HD_DEGREE_AWARD_YR_5_YR_GROUPING,Year of award of fourth highest degree (5 year intervals),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,FIVE_YEAR_GROUP_CODES_2020_
D4ADV,R_ED_4TH_DEGREE_REAS_ADVANCEMT,Reason for obtaining this degree: increase advancement opportunities,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,"For which of the following reasons did you obtain your 4th highest degree? (Response to: 'To increase opportunities for promotion, advancement or higher salary')?",All respondents with four or more degrees,$YES_NO_CODES
